Alternative,Expression,Segment,Coefficient,Description
sov,Constant,,2.41,Constant
sov,Constant,v0,-99,Auto Availability
sov,se.HighIncomePct.O,,0.308,High income households
sov,sov_skim.CongTime,,-0.0181,Travel time
sov,sov_skim.[TollCostSOV (Skim)],,-0.06622,Toll cost
sov,sov_skim.[Length (Skim)],,-0.00662,Auto Operating Cost
hov2,Constant,,1.53,Constant
hov2,hov_skim.CongTime,,-0.0181,Travel time
hov2,hov_skim.[TollCostHOV (Skim)],,-0.03311,Toll cost
hov2,hov_skim.[Length (Skim)],,-0.00331,Auto Operating Cost
hov3,Constant,,0.919,Constant
hov3,hov_skim.CongTime,,-0.0181,Travel time
hov3,hov_skim.[TollCostHOV (Skim)],,-0.02007,Toll cost
hov3,hov_skim.[Length (Skim)],,-0.002,Auto Operating Cost
auto_pay,Constant,v0,1.06,Zero-vehicle households
auto_pay,Constant,vi,1.07,Vehicle insufficient households
auto_pay,hov_skim.CongTime,,-0.0181,Travel time
auto_pay,hov_skim.auto_pay_fare,,-0.03311,Auto fare
w_lb,Constant,,-0.336,Constant
w_lb,Constant,v0,3.54,Zero-vehicle households
w_lb,Constant,vs,-99,Unavailable
w_lb,se.LowIncomePct.O,,1.55,Low Income
w_lb,w_lb_skim.[In-Vehicle Time],,-0.0181,IVTT
w_lb,w_lb_skim.Fare,,-0.09128,Transit fare
w_lb,w_lb_skim.[Access Walk Time],,-0.0453,Access walk time
w_lb,w_lb_skim.[Egress Walk Time],,-0.0453,Egress walk time
w_lb,w_lb_skim.[Transfer Walk Time],,-0.0453,Transfer walk time
w_lb,w_lb_skim.[Initial Wait Time],,-0.0362,Initial wait time
w_lb,w_lb_skim.[Transfer Wait Time],,-0.0362,Transfer wait time
w_lb,w_lb_skim.[Dwelling Time],,-0.0181,Dwell Time
w_eb,Constant,,-0.336,Constant
w_eb,Constant,v0,3.54,Zero-vehicle households
w_eb,Constant,vs,-99,Unavailable
w_eb,se.LowIncomePct.O,,1.55,Low Income
w_eb,w_eb_skim.[In-Vehicle Time],,-0.0181,IVTT
w_eb,w_eb_skim.Fare,,-0.09128,Transit fare
w_eb,w_eb_skim.[Access Walk Time],,-0.0453,Access walk time
w_eb,w_eb_skim.[Egress Walk Time],,-0.0453,Egress walk time
w_eb,w_eb_skim.[Transfer Walk Time],,-0.0453,Transfer walk time
w_eb,w_eb_skim.[Initial Wait Time],,-0.0362,Initial wait time
w_eb,w_eb_skim.[Transfer Wait Time],,-0.0362,Transfer wait time
w_eb,w_eb_skim.[Dwelling Time],,-0.0181,Dwell Time
knr_lb,Constant,,-0.336,Constant
knr_lb,Constant,v0,3.54,Zero-vehicle households
knr_lb,Constant,vs,-99,Unavailable
knr_lb,se.LowIncomePct.O,,1.55,Low Income
knr_lb,knr_lb_skim.[In-Vehicle Time],,-0.0181,IVTT
knr_lb,knr_lb_skim.Fare,,-0.09128,Transit fare
knr_lb,knr_lb_skim.[Access Drive Time],,-0.0181,Access drive time
knr_lb,knr_lb_skim.[Egress Walk Time],,-0.0453,Egress walk time
knr_lb,knr_lb_skim.[Transfer Walk Time],,-0.0453,Transfer walk time
knr_lb,knr_lb_skim.[Initial Wait Time],,-0.0362,Initial wait time
knr_lb,knr_lb_skim.[Transfer Wait Time],,-0.0362,Transfer wait time
knr_lb,knr_lb_skim.[Dwelling Time],,-0.0181,Dwell Time
knr_eb,Constant,,-0.336,Constant
knr_eb,Constant,v0,3.54,Zero-vehicle households
knr_eb,Constant,vs,-99,Unavailable
knr_eb,se.LowIncomePct.O,,1.55,Low Income
knr_eb,knr_eb_skim.[In-Vehicle Time],,-0.0181,IVTT
knr_eb,knr_eb_skim.Fare,,-0.09128,Transit fare
knr_eb,knr_eb_skim.[Access Drive Time],,-0.0181,Access drive time
knr_eb,knr_eb_skim.[Egress Walk Time],,-0.0453,Egress walk time
knr_eb,knr_eb_skim.[Transfer Walk Time],,-0.0453,Transfer walk time
knr_eb,knr_eb_skim.[Initial Wait Time],,-0.0362,Initial wait time
